title,author_name,date,likes,comments,categories_list,type
Brown v. EMA: The Case for Video Games as Free Speech,Kindra Pring,2018-10-17T02:55:48.619Z,na,na,na,Blog
What It’s Like Not To Work For A Tech Company.,Gregory Lusted,2016-09-08T15:24:15.995Z,na,na,na,Blog
The Fine Art of Weekend Puttering,George J. Schroeder,2018-10-26T02:45:56.733Z,na,na,na,Blog
"Small Town, Big Cover-up",Holly Hearn,2018-10-26T08:14:22.457Z,na,na,na,Blog
Halloween Party Activities,The Nib,2018-10-25T22:17:21.262Z,182,182,Political Satire,Blog
My Husband Rinses His Ham,Marianne Curan,2018-10-24T22:16:31.214Z,132,132,Food,Blog
A Jewish Mother’s Google Search History,Sarah Garfinkel,2018-10-24T12:46:01.473Z,463,463,Humor,Blog
Highbrow Humor,Joshua Hehe,2018-10-23T16:32:01.899Z,na,na,na,Blog
Letter From My Half-Written Novel,Kyrie Gray,2018-10-25T13:09:44.506Z,na,na,na,Blog
Daily Itinerary of a Woman Who Had a Horse Obsession as a Girl,Heather Meyer,2018-10-25T11:46:02.641Z,434,434,Horses,Blog
How Improv Can Save a Dull Date,mary elisabeth,2018-10-25T16:31:03.219Z,130,130,Improv,Blog
"See a Suspicious Black Person? Call 1–844-WYT-FEAR, Comedian Niecey Nash’s New Parody Hotline",Citizen Truth Staff,2018-10-24T20:59:39.137Z,40,40,African American,Blog
I’m really not all that worried about how many Likes my Facebook post gets.,Jon Ziegler,2018-10-24T14:23:54.682Z,na,na,na,Blog
What It’s Like Not To Work For A Tech Company.,Gregory Lusted,2016-09-08T15:24:15.995Z,na,na,na,Blog
I Wrote the Novel ‘Baby Shark’ Is Based On,r.j. kushner,2018-10-20T22:20:35.581Z,325,325,Humor,Blog
A Step-by-Step Guide to Self-Sabotage,Domen Kert,2018-10-22T22:04:59.367Z,308,308,Life Lessons,Blog
Creative Halloween Costumes for Procrastinators,Sarah Lofgren,2018-10-22T20:56:02.287Z,315,315,Halloween,Blog
5 Surprising Lessons I Learned While Backpacking Through the Underworld,Bobbie Armstrong,2018-10-23T12:16:01.882Z,365,365,Outdoors,Blog
Clan of the Cave Square,Tarja Parssinen,2018-10-23T16:49:15.243Z,41,41,Womanhood,Blog
Philosophical Anthropology or Hereditary Penguinism?,Mr Nemo,2018-10-23T15:06:59.210Z,na,na,Philosophy,Blog
Trump Proudly Writes His Own Dr. Seuss Poem,"Christyl Rivers, Phd.",2018-10-23T11:20:54.693Z,372,372,Satire,Blog
10 People You Meet on Remote Calls,na,12-Aug,,,na,Blog
Old People Comments on Youtube: The Holy Grail of TMI,Tommy Lee Bones,2018-10-20T22:32:01.647Z,21,21,na,Blog
What Happened When I Peeked Into My Node_Modules Directory,na,5-Aug-16,,,na,Blog
Standup Meets Bagel,na,17-Oct,,,na,Blog
Dialogues With My Daughter,Gregory Lusted,2018-10-22T10:22:45.068Z,1K,1K,Humor,Blog
Young boy in Albany worried about being taught Gay Things in School,Alex David Bevan,2018-10-22T02:13:26.400Z,na,na,na,Blog
"I, Youngish White Guy, Respect You, 8 Months Pregnant Woman…",Lisa Allison Pertoso,2018-10-19T12:01:02.229Z,1.2K,1.2K,Pregnancy,Blog
A Day in the Life of a Freelance Artist.,Chaz Hutton,2018-10-19T11:28:15.235Z,na,na,na,Blog
My Waves of Parenting,Jon Ziegler,2018-10-18T23:14:45.872Z,na,na,na,Blog
Thinking Outside the Sandwich,James Walsh,2018-10-17T22:19:58.104Z,69,69,Food,Blog
"If by Social Life You Meant My Bag of Chips, Then Yes I Scheduled That into My Calendar",Maria,2018-10-18T00:41:20.950Z,531,531,Humor,Blog
How To Even…Do Halloween,How To Even…,2018-10-18T12:06:02.193Z,na,na,na,Blog
A Guided Visual Meditation of Jared Kushner Being Swallowed Alive by Quicksand,"Holly Wood, PhD 🌹",2018-10-18T17:21:46.699Z,816,816,Meditation,Blog
Shoot,Kelsey CM Kelleher,2018-10-18T21:36:25.135Z,151,151,Short Story,Blog
Weighted Blankets That Mimic The Crushing Pressure Of Being Alive Right Now,Tim Sniffen,2018-10-18T16:59:02.992Z,na,na,na,Blog
Other Phrases for Authors to Use Rather Than ‘She Filled Out Her Clothes Nicely’,Katie Burgess,2018-10-18T12:06:02.649Z,762,762,Humor,Blog
Wikipedia’s Top-Secret ‘Hired Guns’ Will Make You Matter (For a Price),na,29-Oct,,,na,Blog
Wikipedia’s Top-Secret ‘Hired Guns’ Will Make You Matter (For a Price),na,29-Oct,,,na,Blog
Satoshi’s 2nd Gift — “Part 2” : Guide for Newbies,BobTheGrownUp,2018-10-29T06:01:02.677Z,6,6,Blockchain,Blog
Love to comment? Say your name.,Jeffrey Denny,2018-10-28T18:45:35.949Z,1,1,Politics,Blog
"When you fat shame strangers, you fat shame your loved ones, too",Juliet James,2018-10-28T10:13:15.365Z,na,na,na,Blog
Wikipedia: Rotten to the Core,Helen Buyniski,2018-10-26T19:35:25.940Z,105,105,Wikipedia,Blog
Why You Need Emoji,Nautilus,2018-10-29T22:16:04.952Z,na,na,na,Blog
They Were Never “Just Trolling”,Kitanya Harrison,2018-10-26T12:01:02.762Z,241,241,Donald Trump,Blog
War Is Memes. Just “Don’t Be a Victim like the Americans”,Fast Company,2018-10-25T00:00:00.000Z,na,na,na,Blog
Why FiveThirtyEight doesn’t beat prediction markets,David Sumpter,2018-10-25T17:53:15.204Z,54,54,Politics,Blog
In Pursuit of Something Real,Zack Hayhurst,2018-10-25T04:20:36.054Z,na,na,na,Blog
The attention economy is eating our brains: what if we taxed it?,Dorian Peters,2018-10-25T00:27:38.361Z,na,na,na,Blog
Seven Hundred and Fifty-Six Pages,Julie DiCaro,2018-10-24T09:01:55.145Z,277,277,Social Media,Blog
The Surprising Nuance Behind the Russian Troll Strategy,na,20-Oct,,,na,Blog
I Probably Started the Whole NPC Thing & I Am Very Sorry,Joshua Scott Hotchkin,2018-10-22T22:35:05.527Z,1,1,Politics,Blog
You Should Create a Web Series,Mike Tymofie,2018-10-21T13:01:01.969Z,na,na,na,Blog
"Does This Moment in History Call for More ‘Nuance,’ or Less?",New York Times Magazine,2018-10-19T00:00:00.000Z,na,na,na,Blog
How Woke Became a Weapon,na,19-Oct,,,na,Blog
The Meme as Meme,na,17-Oct,,,na,Blog
Watch and play: when streaming becomes part of the game,Alex Gandra,2018-10-16T14:22:02.148Z,97,97,Streaming,Blog
"Why Australia is the perfect mark for toxic, trolling Neo-Nazi memes",Ketan Joshi,2018-10-16T09:15:43.215Z,37,37,Politics,Blog
Meghan Daum: “Nuance: A Love Story”,na,17-Oct,,,na,Blog
Exhuming Gamergate: A Look Back At A Dark And Extremely Muddied Page In Internet History,Korin Sole,2018-10-17T11:12:10.833Z,8,8,GamerGate,Blog
There’s No Such Thing as a Web Without Gatekeepers,na,18-Oct,,,na,Blog
How to Become Untriggered and Stop Being a Jerk on the Internet,P.K. Slater,2018-10-15T16:29:05.455Z,na,na,na,Blog
How the Alt-Right Is Weaponizing the Classics,na,15-Oct,,,na,Blog
Video Chat Is Terrible and About to Get Much Worse,na,16-Oct,,,na,Blog
The Trolls Nextdoor,Kim Brown,2018-10-11T07:09:30.174Z,3,3,Nextdoor,Blog
On Neo-Luddites and Optimists in the 21st Century Internet Age,On Aging,2018-10-12T13:23:02.000Z,56,56,Technology,Blog
Catch Us If You Can,na,10-Oct,,,na,Blog
Satoshi’s 2nd Gift — BitcoinTalk,BobTheGrownUp,2018-10-11T10:13:00.236Z,668,668,Blockchain,Blog
Twitch.tv’s Problem with Racism,Korin Sole,2018-10-09T10:19:58.025Z,25,25,Gaming,Blog
How Dril Foretold the Collapse of Man,Miles Klee,2018-10-10T14:01:02.241Z,442,442,Twitter,Blog
When Online Anonymity Is a Good Thing,The Financial Times,2018-10-10T12:45:39.434Z,na,na,na,Blog
Urban Digital Diplomacy: A Social Glitch or Revolution?,Seruni Fauzia Lestari,2018-10-08T11:31:01.229Z,21,21,Social Media,Blog
A Unified Theory of Everything Wrong with the Internet,na,17-Sep,,,na,Blog
The Nuisance,na,24-Oct,,,na,Blog
"What Family Could be, if Only…",Jk Mansi,2018-10-27T11:01:01.987Z,667,667,Despair,Blog
The Boardwalk Bench,Jon Walsh,2018-10-27T22:12:48.882Z,83,83,Short Story,Blog
Fade,Ryan Zubery,2018-10-27T13:31:01.815Z,18,18,Fiction,Blog
Such a Lovely Place,S SD,2018-10-27T12:46:53.184Z,120,120,Fiction,Blog
Japanese Riceballs,Alvaro Adizon,2018-10-27T11:41:19.176Z,25,25,Short Story,Blog
The Dike,Nicole des Bouvrie,2018-10-28T07:41:11.615Z,na,na,na,Blog
Unrequited,Davy Carren,2018-10-28T00:35:04.135Z,51,51,Fiction,Blog
The Madichon: Origins of a Curse,Gherin Krieg,2018-10-27T23:15:55.469Z,na,na,na,Blog
Fear,Sable Whisper,2018-10-26T06:41:05.171Z,na,na,na,Blog
indentation,Robel Yemiru,2018-10-25T17:10:01.157Z,1,1,Poetry,Blog
West of Farmingdale,Steve Chatterton,2018-10-25T18:18:00.399Z,17,17,Fiction,Blog
Joyride to Planet 9,emphasis.ai,2018-10-23T13:45:54.184Z,176,176,Space,Blog
The Guest,Sable Whisper,2018-10-19T12:01:02.266Z,na,na,na,Blog
Confession Booths,Nina Szarka,2018-06-19T00:35:54.955Z,501,501,Confessions,Blog
The Mountains in Morning,Dale E. Lehman,2018-10-24T11:31:01.984Z,na,na,na,Blog
The Hole in the Top of the World,J. Brandon Lowry,2018-10-24T07:58:55.499Z,na,na,na,Blog
The Nuisance,na,24-Oct,,,na,Blog
The Knowing,na,24-Oct,,,na,Blog
The Third Boy,na,24-Oct,,,na,Blog
The Hag of the Beara,na,24-Oct,,,na,Blog
Acquiring Wisdom,hannah miller,2018-10-23T16:40:12.602Z,na,na,na,Blog
It’s Like Money Dropped Out of a Helicopter Into the Sea,Ben Kassoy,2018-10-23T23:22:34.592Z,na,na,na,Blog
At Dawn,Benjamin Brood,2018-10-23T14:41:47.494Z,26,26,Fiction,Blog
How About Tomorrow?,Madeline McMahon,2018-10-23T17:30:35.037Z,192,192,Poetry,Blog
truth invincible will not be erased,yun corey chan,2018-10-23T20:59:47.785Z,164,164,Poetry,Blog
To Rewind,Meghal Bhatt,2018-10-23T21:15:44.361Z,174,174,Poetry,Blog
The Spa,na,24-Oct,,,na,Blog
Window Seat,na,24-Oct,,,na,Blog
The Pamphlet,na,24-Oct,,,na,Blog
Stockholm’s Lions Don’t Sleep,Zanne Nilsson,2018-10-16T19:49:23.948Z,245,245,Poetry,Blog
The Last Invention of Man,Nautilus,2018-10-22T00:00:00.000Z,na,na,na,Blog
Fixing Butterflies,Oliver Miller,2018-10-11T08:49:51.358Z,143,143,Short Story,Blog
"You on Your Best Day: Tinder, Self, and Depression",Sofia Sears,2018-10-22T18:49:52.765Z,na,na,na,Blog
Downswing,Kenneth Yeung,2018-10-22T16:59:32.216Z,na,na,na,Blog
American Madrassa,Aatif Rashid,2018-10-22T15:16:01.913Z,12,12,Short Story,Blog
Wikipedia’s Top-Secret ‘Hired Guns’ Will Make You Matter (For a Price),na,29-Oct,,233,na,Blog
Wikipedia’s Top-Secret ‘Hired Guns’ Will Make You Matter (For a Price),na,29-Oct,,,na,Blog
Democrats Need to Get Comfortable With Power,na,29-Oct,,,na,Blog
The Midterm Stakes: A Brief Primer,na,26-Oct,,,na,Blog
How Trumpism Actually Made Americans More Favorable Toward Immigrants,na,26-Oct,,,na,Blog
Trump’s Golf Game Is a Lot Like His Presidency,na,25-Oct,,,na,Blog
Janet Reno’s Sister Owes a Florida Developer $4 Million. She Has Zero Intention of Paying.,na,25-Oct,,,na,Blog
The Power Struggle for Dungeons & Dragons’ Soul,na,24-Oct,,711,na,Blog
Meet the Existentialist Bodybuilder,na,24-Oct,,,na,Blog
The Mindset That Makes You Better With Money,na,24-Oct,,,na,Blog
Inside the Shadow Clinics,na,24-Oct,,,na,Blog
We Need New Child Labor Laws for the Digital Age,na,23-Oct,,,na,Blog
It’s Okay to Not Want a Promotion,na,22-Oct,,,na,Blog
I Know the Salaries of Thousands of Tech Employees,na,23-Oct,,,na,Blog
Inside the Hard Road to Transform the Teacher’s Movement into Real Power,na,19-Oct,,,na,Blog
Tech Companies Are Getting Free Work Out of Job Applicants,na,19-Oct,,,na,Blog
How I Accidentally Wound Up Running an Outlaw Biker Gang in Ohio,na,19-Oct,,,na,Blog
Can the Tech Industry Do What the Dems Can’t?,na,18-Oct,,,na,Blog
I Was a Cop for 18 Years. I Witnessed and Participated in Abuses of Power.,na,18-Oct,,,na,Blog
How to Take Control of Your Own Life,na,17-Oct,,,na,Blog
Donald Trump and the Power of Disappointment,na,17-Oct,,,na,Blog
Why Don’t ‘Good Men’ Believe Women?,na,15-Oct,,,na,Blog
Trump Left These Men Behind. One Soldier Made It His Mission to Save Them.,na,16-Oct,,,na,Blog
A Step-by-Step Guide to Documenting Sexual Harassment,na,16-Oct,,,na,Blog
In Justice,na,15-Oct,,,na,Blog
A Religious Leader for the Resisterhood,na,15-Oct,,,na,Blog
The Awkward Power Dynamics of Being Friends With Your Parents,na,11-Oct,,,na,Blog
The Power of Strutting in a Black Body,na,8-Oct,,,na,Blog
How ‘Fortnite’ Became Powerful Enough to Break Sony,na,8-Oct,,,na,Blog
The Overwhelmed Person’s Guide to Activism,na,8-Oct,,,na,Blog
How to Merge Your Finances Without Getting Divorced,na,8-Oct,,,na,Blog
Two for the Price of One,na,3-Oct,,,na,Blog
"White Supremacy Acts Like a Bully, and It Can Be Dealt With Like a Bully",na,21-Sep,,,na,Blog
The 50/50 Murder,na,1-Oct,,,na,Blog
The Middle East’s Kafala System Imprisons Millions of Women,na,1-Oct,,,na,Blog
"The Groin Kick, and Other Essential Moves",na,1-Oct,,,na,Blog
Wish You Were Here,Grant Reynolds,2018-10-25T13:01:03.047Z,809,809,Grant Reynolds,Blog
15 Things We Learned From Reading ‘Beastie Boys Book’,uDiscover Music,2018-10-29T14:00:19.000Z,na,na,na,Blog
Pop Music’s Legacy Of Androgyny Continues To Guide Us,Sean F. McGowan,2018-10-27T18:45:01.917Z,10,10,Music,Blog
"Healing the Hurting Through Music, Henry Wiens and Quiet Heart Music",Ed Newman,2018-10-29T14:37:02.326Z,na,na,na,Blog
Joyce Manor : Million Dollars to Kill Me (for Treble),Ben Dickerson,2018-10-29T05:26:44.684Z,na,na,Music,Blog
10 Reasons Why 1972-1974 Was the Golden Age of Pop Music?,Jeremy Helligar,2018-10-29T11:01:01.845Z,na,na,na,Blog
Dinosaurs in the Morning: Whitney Balliett,Steve Newman Writer,2018-10-29T11:36:21.472Z,na,na,na,Blog
‘Death Certificate’: Why Ice Cube’s Second Album Is A Certified Classic,uDiscover Music,2018-10-29T10:30:57.000Z,na,na,na,Blog
Using Music as a Writing Prompt,Jeremy Howell,2018-10-28T15:39:35.871Z,64,64,Music,Blog
The character assassination of Taylor Swift,The Overtake,2018-10-28T16:36:02.108Z,na,na,na,Blog
Secure the Bag by Any Means,DJBooth,2018-10-24T00:00:00.000Z,na,na,na,Blog
The Truth Behind The Strange Dead Celebrity Hologram Industry,BAILEY STEEN💋,2018-10-25T21:45:43.868Z,na,na,na,Blog
Freddie Mercury Has Been My Idol Since I Was 10. I Will Not Pay To See ‘Bohemian Rhapsody.’,Gregory Uzelac,2018-10-25T16:07:12.436Z,na,na,na,Blog
Perspectives on Avicii’s Death,Anthony Douglas,2018-10-23T18:31:30.832Z,na,na,na,Blog
NeuralFunk - Combining Deep Learning with Sound Design,Max Frenzel,2018-10-25T13:22:17.977Z,515,515,Machine Learning,Blog
Wish You Were Here,Grant Reynolds,2018-10-25T13:01:03.047Z,809,809,Grant Reynolds,Blog
“Rainbow Connection” — Kermit The Frog and Debbie Harry,"No Words, No Song",2018-10-25T10:45:07.765Z,41,41,Music,Blog
"Trumpet, Powered by The Web",Uri Shaked,2018-10-24T23:36:14.569Z,217,217,JavaScript,Blog
Lil Wayne : Tha Carter V (for Treble),Ben Dickerson,2018-10-24T19:20:43.308Z,5,5,Music,Blog
Pursuing Happiness Doesn’t Guarantee It,Heather M. Edwards,2018-10-24T19:29:11.250Z,na,na,na,Blog
Indie Rock is Full of Privileged White Kids. I Know Because I’m One of Them.,Jen Cloher,2018-10-22T20:42:29.024Z,201,201,Feminism,Blog
Greta Van Fleet Are “Evolving Rock’n’Roll” Says Guitarist Jake Kiszka,uDiscover Music,2018-10-24T14:00:08.000Z,1,1,Music,Blog
How Adele’s 21 set the standards for top-notch music,Raunaq Nambiar,2018-10-22T15:39:24.033Z,65,65,Adele,Blog
Looking for New England (What will that England Be?),emercoleman,2018-10-22T14:43:30.461Z,47,47,Politics,Blog
What Mac Miller Meant To Hip-Hop,Justin Patton,2018-10-24T09:19:54.897Z,na,na,na,Blog
10 Things We Learned From The ‘Bohemian Rhapsody’ Biopic,uDiscover Music,2018-10-24T07:00:35.000Z,57,57,Music,Blog
The Enduring Appeal of Nine Inch Nails,Craig Jenkins,2018-10-23T22:16:00.000Z,na,na,na,Blog
For Discos Only: How Vanguard And Fantasy Made Disco Dreams Real,uDiscover Music,2018-10-23T14:00:48.000Z,50,50,Music,Blog
Swift and Springsteen: A parallel idolization,Emma Henderson,2018-10-21T23:47:24.650Z,30,30,Music,Blog
The FBI vs. “Louie Louie:” How can we stamp out this menace??,Dale Brumfield,2018-10-23T16:29:20.194Z,42,42,Music,Blog
RSVP for Location,Melis Ugurlu,2018-10-21T15:01:02.402Z,1,1,Music,Blog
Gewandhausorchester Leipzig 2018–19 Review: The Autumn Tour,Polina Lyapustina,2018-10-21T13:51:08.467Z,na,na,Music,Blog
‘Mellon Collie And The Infinite Sadness’: Why Smashing Pumpkins’ Classic Still Endures,uDiscover Music,2018-10-23T09:00:14.000Z,50,50,Music,Blog
"Sooner or Later, Everyone Falls in Love With Nick Cave and The Bad Seeds",Jill Ettinger,2018-10-23T06:48:36.460Z,na,na,na,Blog
Anthem. by Less Than Jake — Retrospective,Leo S,2018-10-23T01:44:24.163Z,na,na,na,Blog
"50 Years of Jimmy Buffett, in Eleven Songs",Caroline Delbert,2018-10-22T20:38:10.844Z,1,1,Music,Blog
These Photos of Prepper Bags Hold a Mirror to Society,na,25-Sep,,,na,Blog
Night mode and the loss of limits in photography,Lars Mensel,2018-10-28T16:07:17.361Z,na,na,na,Blog
"Light On Water, a Forensic and Sketching Study",Russell Foltz-Smith,2018-10-23T09:20:57.057Z,29,29,Science,Blog
Eugène Atget,Raymond Larose,2018-10-24T11:00:09.884Z,178,178,Photography,Blog
The Never Ending Dilemma of “Good Enough”,Nick Ahrens,2018-10-24T05:20:23.130Z,338,338,Photography,Blog
Street Photography?,Anthony Rampersad,2018-10-24T03:51:44.253Z,na,na,na,Blog
These Photos of Prepper Bags Hold a Mirror to Society,na,25-Sep,,,na,Blog
Photography: A Culture Without the Effort,Cameron Watson,2018-10-23T11:31:03.173Z,na,na,na,Blog
The End of Professional Photography?,Robert Rittmuller,2018-10-22T02:54:33.109Z,na,na,na,Blog
"Dust, Dirt and Peacefulness Only a Short Drive Away",Irene North,2018-10-21T13:00:12.783Z,na,na,na,Blog
Going Galactic.,Rakitha Perera,2018-10-20T00:32:23.738Z,150,150,Travel,Blog
For The Simple Beauties Of Life — Photos,Elle Fredine,2018-10-19T11:46:02.312Z,na,na,na,Blog
Rapha Rides Osaka: Tokuhiko Kise,Lee Basford,2018-10-18T23:03:46.777Z,na,na,na,Blog
Book Review: No Man’s Land: Views from a Surveillance State by Marcus DeSieno,Cary Benbow,2018-10-18T14:35:23.000Z,10,10,Book Review,Blog
The Witches You Failed To Burn,Sabat Magazine,2018-10-18T11:40:43.978Z,155,155,Photography,Blog
Older Adults Combating Aging Stereotypes,Jacob Brancasi,2018-10-16T18:59:12.560Z,12,12,Aging,Blog
CX Nobeyama: Rapha Supercross,Lee Basford,2018-10-17T08:27:00.765Z,3,3,Cycling,Blog
The Mythical Appeal of Robert Capa’s The Falling Soldier,Ishaan Jajodia,2018-10-17T04:36:02.540Z,37,37,Photography,Blog
Am I Outsourcing My Memory?,Jessie Smith,2018-10-17T02:09:39.375Z,218,218,Cameras,Blog
Photography Books to Become a Better Photographer,Federico Alegría,2018-10-16T20:18:34.794Z,17,17,Photography,Blog
A Beach Divided,na,15-Oct,,,na,Blog
"The iPhone XS Camera — Good, Bad, or Ugly?",Robert Rittmuller,2018-10-15T02:54:37.475Z,na,na,na,Blog
A Bit on Depth and Gamut,Dreux Sawyer,2018-10-13T15:26:19.141Z,28,28,Photography,Blog
Carrying the Weight of Genocide Through Photography,Rachel Gould,2018-10-13T14:20:12.813Z,70,70,Holocaust,Blog
The World’s Most Inspirational Iceberg Isn’t What It Seems,na,11-Oct,,,na,Blog
How to master photographic histograms?,Meero,2018-10-12T16:01:02.809Z,298,298,Photography,Blog
Why the iPhone Xs is the Only Camera You Need on Your Next Vacation,Dustin Pease,2018-10-10T18:47:57.681Z,224,224,Iphone X,Blog
Learn how the Depth of Field in Photography works,Sebastian Jacobitz,2018-10-12T12:15:55.000Z,122,122,Depth Of Field,Blog
How to get Unique Mobile Portraits,Victor Otto,2018-10-09T20:41:54.261Z,37,37,Photography,Blog
You read a lot. We like that.,Maggie King,2018-10-11T14:01:03.357Z,na,na,na,Blog
The Unseen Benefits of Street Photography with Friends,Nick Ahrens,2018-10-09T07:52:57.062Z,324,324,Photography,Blog
Why I stopped giving my photos away for free,Patrick Tomasso,2018-10-08T19:51:18.664Z,334,334,Photography,Blog
"Facebook, Please Don’t Use AI to ‘Fix’ Our Photos",Bennat Berger,2018-10-10T14:24:00.057Z,21,21,Photography,Blog
"How to Start a Photography Business: Creating the Business Plan, Part I",SLR Lounge,2018-09-25T16:30:44.000Z,109,109,Photography,Blog
Splitting Channels Into RGB For Raster Graphics Editing,Vince Tabora,2018-10-10T01:04:56.317Z,35,35,Design,Blog
iPhoneography Pro: A Q&A With Commercial Photographer Robert Morrissey,Heather Hummel,2018-10-10T01:43:32.709Z,na,na,na,Blog
No Egrets,Alan Hanson,2018-05-02T17:34:50.757Z,na,na,na,Blog
Phoenix,Lauren Klitzke,2018-10-29T11:27:56.340Z,323,323,Poetry,Blog
We Should Have Kept Screaming,Zach J. Payne,2018-10-29T13:26:01.367Z,na,na,na,Blog
Moustache Doesn’t Make a Man: A Poem,Vladimir Karas,2018-10-28T13:18:55.243Z,na,na,na,Blog
Never Ending Talkers,Francine Fallara,2018-10-28T02:33:34.478Z,na,181,na,Blog
Poètes M(ort)audit,Awkward Mermaid,2018-10-27T00:10:43.199Z,27,27,Mental Health,Blog
Divine,Anna Rozwadowska,2018-10-27T19:21:47.471Z,na,na,na,Blog
Words That Matter,"Christyl Rivers, Phd.",2018-10-26T10:16:23.808Z,428,428,Poetry,Blog
In This Narrow Space,Ré Harris,2018-10-26T10:24:48.735Z,na,na,na,Blog
Let everything happen,anna breslin,2018-10-20T16:31:51.628Z,na,na,na,Blog
To Shine Like A Pearl,Meghal Bhatt,2018-10-25T17:46:25.390Z,134,134,Poetry,Blog
jackpot blues,Lawrence Mack,2018-10-25T18:13:51.275Z,3,3,Life,Blog
Don’t Be Too Late,Guapo Dré,2018-10-25T20:37:05.027Z,80,80,Life,Blog
Wine Tasting in the Napa Valley,Danna Colman,2018-04-13T23:00:32.597Z,na,na,na,Blog
Shame Follows in a Yellow Car,Ré Harris,2017-10-16T05:50:03.368Z,na,na,na,Blog
They try to fix me,Tin,2018-09-09T02:09:19.621Z,na,na,na,Blog
Liking Confessional Poetry: Something I Should Have Overcome a Long Time Ago,Christine Cherry,2018-04-09T19:21:14.793Z,na,na,na,Blog
The Nature Fix,Brandon Conway,2018-09-30T04:19:10.543Z,na,na,na,Blog
Still grieving — still breathing,D Abboh,2018-08-20T08:10:36.413Z,na,na,na,Blog
Seven Vignettes,Rachel B. Baxter,2018-07-06T16:10:10.633Z,na,na,na,Blog
I call him erato,Joan Evans,2018-04-16T09:49:24.609Z,na,na,na,Blog
Belief Vs. Truth,Brian McFadden,2018-07-28T16:22:19.216Z,928,928,Poetry,Blog
"For J., On Falling Again",Zach J. Payne,2018-05-25T02:54:16.687Z,na,na,na,Blog
Empathy,Elizabeth Helmich,2018-07-12T14:30:23.723Z,na,na,na,Blog
Writing — Evermore,John Tuttle,2018-09-05T12:52:19.272Z,158,158,Poetry,Blog
The unrequited love poem,K.C. Healy,2018-04-03T00:13:21.484Z,600,600,Cwpc2018,Blog
How Writing Poetry Saved Me,Bijal A Shah,2018-03-21T08:22:10.701Z,na,na,na,Blog
Tempering the blade,Dick Millet,2018-06-24T21:57:07.977Z,na,na,na,Blog
"From Instapoets to the Bards of YouTube, Poetry Is Going Viral — and Some Poets Hate That",Washington Post,2018-05-09T17:50:50.679Z,na,na,na,Blog
An open door,anna breslin,2018-08-28T22:17:43.460Z,na,na,na,Blog
Vertigo,Joe Váradi,2018-08-19T16:01:12.088Z,na,na,na,Blog
No Egrets,Alan Hanson,2018-05-02T17:34:50.757Z,na,na,na,Blog
A Universe Within,Elizabeth Helmich,2018-08-09T20:26:48.337Z,1.1K,1.1K,Poetry,Blog
Stranger Born,Gwen Saoirse,2018-04-02T13:29:52.640Z,675,675,Queer Poetry,Blog
Elegie,Alternating Current Press,2018-08-07T13:29:11.589Z,92,92,Poetry,Blog
"Dear Dad, I was too naïve…",Nabeel Tahir,2018-10-01T00:17:57.760Z,na,na,na,Blog
Zero-Tolerance Policies Won’t End Hate,na,29-Oct,,,na,Blog
Why You Need Emoji,Nautilus,2018-10-29T22:16:04.952Z,na,na,na,Blog
"Analyzing the Frieze London 2018 art fair, Part 1",Vishal Kumar,2018-10-29T19:18:50.300Z,156,156,Twitter,Blog
A Method for Social Media Companies to Address Fake News,Will Staton,2018-10-29T19:03:36.930Z,na,na,Journalism,Blog
How Ordinary People Survive In An Extraordinary World,Bradford Chase,2018-10-29T17:53:46.062Z,na,na,na,Blog
The Thing I Most Crave on Social Media Is an Ending,New York Magazine,2018-10-29T18:32:28.767Z,na,na,na,Blog
The Pittsburgh Suspect’s Internet of Hate,Taylor Lorenz,2018-10-29T17:32:45.956Z,na,na,na,Blog
Freedom of Speech and Social Media,Harold Zoid,2018-10-29T04:26:40.788Z,16,16,Politics,Blog
Why I closed my Gab account,Mark Vandermaas,2018-01-15T21:00:30.198Z,na,na,na,Blog
Zero-Tolerance Policies Won’t End Hate,na,29-Oct,,,na,Blog
Gab Gets Alex Jones Treatment After CNN Blames It For Synagogue Shooting,Citizen Truth Staff,2018-10-28T17:59:47.889Z,5,5,na,Blog
"Most Likely Companies to Acquire Snapchat — Amazon, Tencent, ByteDance and Netflix",Michael K. Spencer,2018-10-27T23:00:13.647Z,na,na,na,Blog
"When you fat shame strangers, you fat shame your loved ones, too",Juliet James,2018-10-28T10:13:15.365Z,na,na,na,Blog
The Psychology of Social Media: What Drives our Connections?,Eric Espinoza,2018-10-25T06:56:57.689Z,100,100,Social Media,Blog
How Powerful are Social Media Companies?,Nick Rabb,2018-10-26T17:01:05.005Z,20,20,Facebook,Blog
The Problem With Fixing WhatsApp? Human Nature Might Get in the Way,Farhad Manjoo,2018-10-26T18:17:30.203Z,na,na,na,Blog
The “Blockchain Facebook” is Off to a Rocky Start,Mike Newbry,2018-10-24T16:47:49.651Z,14,14,Blockchain,Blog
Facebook’s Actions in Myanmar Reflect a Failure to Follow U.N. Guidance on Business and Human Rights,Shauna Curphey,2018-10-26T10:46:48.246Z,na,na,Human Rights,Blog
"A new society, a new language",Rumor Ex Mundis,2018-10-26T10:24:58.285Z,10,10,Technology,Blog
"Why You Should Love, Not Hate Zuckerberg",Rob Thompson,2018-10-26T10:49:43.309Z,na,na,na,Blog
Destroy Fitness Culture,Festival of Dangerous Ideas,2018-10-26T04:23:48.365Z,386,386,Health,Blog
