title,author_name,date,likes,comments,categories_list,website_name
Why I Love And Hate Having A Smartphone,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
The State of The Web Winter 2010,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
Why some emails go unanswered,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
7 things you don't really need to take a photo of ,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
This Is How I Feel About Buying Apps,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
What It's Like To Own An Apple Product,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
8 Website You Need To Stop Building ,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
Why It's Better To Pretend You Don’t Know Anything About Computers ,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
Why I'd Rather Be Punched In The Balls Testicles Than Call Customer Service ,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
10 Reasons To Avoid Talking On The Phone ,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
What your email address says about your computer skills ,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
Why Working From Home Is Both Awesome and Horrible ,Matthew Inman,N/A,N/A,N/A,"[Tech, Comedy]",Oatmeal
"If you do this in an email, I Hate You.",Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
How #FollowFriday Is Supposed Work,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
How my handwriting has Changed since Kindergarten,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
How to fix any computer ,Matthew Inman,N/A,N/A,N/A,[Tech],Oatmeal
